0,-5.8,-60
0,-5.4,-55
0,-5,-55
0,-4.8,-60
0,-4.4,-45
0,-4.2,-45
0,-4,-40
0,-3.4,-80
0,-3,-30
0,-2.8,-70
0,-2.6,-30
0,-2.4,-25
0,-2,-20
0,-1.6,-15
0,-1.4,-50
0,-1.2,-85
0,-1,-65
0,-0.8,-15
0,-0.6,-5
0,-0.4,-35
0,-0.2,-100
0,3.05311e-15,-100
0,0.2,5
0,0.4,10
0,0.6,15
0,0.8,20
0,1,25
0,1.2,55
0,1.4,30
0,1.6,35
0,1.8,40
0,2,45
0,2.2,50
0,2.4,100
0,2.6,55
0,2.8,60
0,3,65
0,3.2,70
0,3.4,75
0.1,-5.8,-60
0.1,-5.4,-55
0.1,-4.8,-50
0.1,-4.4,-45
0.1,-4,-40
0.1,-3.4,-35
0.1,-3,-30
0.1,-2.4,-25
0.1,-2,-20
0.1,-1.6,-15
0.1,-1,-10
0.1,-0.6,-5
0.1,3.05311e-15,5
0.1,0.2,5
0.1,0.4,10
0.1,0.6,15
0.1,0.8,20
0.1,1,25
0.1,1.2,55
0.1,1.4,30
0.1,1.6,35
0.1,1.8,40
0.1,2,45
0.1,2.2,50
0.1,2.4,100
0.1,2.6,55
0.1,2.8,60
0.1,3,65
0.1,3.2,70
0.1,3.4,75
0.1,3.8,80
0.2,-5.8,-60
0.2,-5.4,-55
0.2,-4.8,-50
0.2,-4.4,-45
0.2,-4,-40
0.2,-3.4,-35
0.2,-3,-30
0.2,-2.4,-25
0.2,-2,-20
0.2,-1.6,-15
0.2,-1,-10
0.2,-0.6,-5
0.2,0.2,5
0.2,0.4,10
0.2,0.6,15
0.2,0.8,20
0.2,1,25
0.2,1.4,30
0.2,1.6,35
0.2,1.8,40
0.2,2,45
0.2,2.2,50
0.2,2.6,55
0.2,2.8,60
0.2,3,65
0.2,3.2,70
0.2,3.4,75
0.2,3.8,80
0.3,-5.8,-60
0.3,-5.4,-55
0.3,-4.8,-50
0.3,-4.4,-45
0.3,-4,-40
0.3,-3.4,-35
0.3,-3,-30
0.3,-2.4,-25
0.3,-2,-20
0.3,-1.6,-15
0.3,-1,-10
0.3,-0.6,-5
0.3,0.2,5
0.3,0.4,10
0.3,0.6,15
0.3,0.8,20
0.3,1,25
0.3,1.4,30
0.3,1.6,35
0.3,1.8,40
0.3,2,45
0.3,2.2,50
0.3,2.6,55
0.3,2.8,60
0.3,3,65
0.3,3.2,70
0.3,3.4,75
0.3,3.8,80
0.4,-5.8,-60
0.4,-5.4,-55
0.4,-4.8,-50
0.4,-4.4,-45
0.4,-4,-40
0.4,-3.4,-35
0.4,-3,-30
0.4,-2.4,-25
0.4,-2,-20
0.4,-1.6,-15
0.4,-1,-10
0.4,-0.6,-5
0.4,0.2,5
0.4,0.4,10
0.4,0.6,15
0.4,0.8,20
0.4,1,25
0.4,1.4,30
0.4,1.6,35
0.4,1.8,40
0.4,2,45
0.4,2.2,50
0.4,2.6,55
0.4,2.8,60
0.4,3,65
0.4,3.2,70
0.4,3.4,75
0.4,3.8,80
0.5,-5.8,-60
0.5,-5.4,-55
0.5,-4.8,-50
0.5,-4.4,-45
0.5,-4,-40
0.5,-3.4,-35
0.5,-3,-30
0.5,-2.4,-25
0.5,-2,-20
0.5,-1.6,-15
0.5,-1,-10
0.5,-0.6,-5
0.5,0.2,5
0.5,0.4,10
0.5,0.6,15
0.5,0.8,20
0.5,1,25
0.5,1.4,30
0.5,1.6,35
0.5,1.8,40
0.5,2,45
0.5,2.2,50
0.5,2.6,55
0.5,2.8,60
0.5,3,65
0.5,3.2,70
0.5,3.4,75
0.5,3.8,80
0.6,-5.8,-60
0.6,-5.4,-55
0.6,-4.8,-50
0.6,-4.4,-45
0.6,-4,-40
0.6,-3.4,-35
0.6,-3,-30
0.6,-2.4,-25
0.6,-2,-20
0.6,-1.6,-15
0.6,-1,-10
0.6,-0.6,-5
0.6,0.2,5
0.6,0.4,10
0.6,0.6,15
0.6,0.8,20
0.6,1,25
0.6,1.4,30
0.6,1.6,35
0.6,1.8,40
0.6,2,45
0.6,2.2,50
0.6,2.6,55
0.6,2.8,60
0.6,3,65
0.6,3.2,70
0.6,3.4,75
0.6,3.8,80
0.7,-5.8,-60
0.7,-5.4,-55
0.7,-4.8,-50
0.7,-4.4,-45
0.7,-4,-40
0.7,-3.4,-35
0.7,-3,-30
0.7,-2.4,-25
0.7,-2,-20
0.7,-1.6,-15
0.7,-1,-10
0.7,-0.6,-5
0.7,0.2,5
0.7,0.4,10
0.7,0.6,15
0.7,0.8,20
0.7,1,25
0.7,1.4,30
0.7,1.6,35
0.7,1.8,40
0.7,2,45
0.7,2.2,50
0.7,2.6,55
0.7,2.8,60
0.7,3,65
0.7,3.2,70
0.7,3.4,75
0.7,3.8,80
0.8,-5.8,-60
0.8,-5.4,-55
0.8,-4.8,-50
0.8,-4.4,-45
0.8,-4,-40
0.8,-3.4,-35
0.8,-3,-30
0.8,-2.4,-25
