0,-5.8,-60
0,-4.8,-60
0,-4,-40
0,-3.4,-80
0,-3,-30
0,-2.8,-70
0,-2.6,-30
0,-2,-20
0,-1.4,-50
0,-1,-40
0,-0.4,-10
0,-0.2,-100
0,0,-100
0,0.2,10
0,0.4,10
0,0.6,30
0,0.8,20
0,1.4,30
0,1.6,70
0,1.8,40
0,2,90
0,2.2,50
0,2.4,100
0,2.8,60
0,3.2,70
0.2,-5.8,-60
0.2,-4.8,-50
0.2,-4,-40
0.2,-3,-30
0.2,-2,-20
0.2,-1,-10
0.2,0.4,10
0.2,0.8,20
0.2,1.4,30
0.2,1.8,40
0.2,2.2,50
0.2,2.8,60
0.2,3.2,70
0.2,3.8,80
0.4,-5.8,-60
0.4,-4.8,-50
0.4,-4,-40
0.4,-3,-30
0.4,-2,-20
0.4,-1,-10
0.4,0.4,10
0.4,0.8,20
0.4,1.4,30
0.4,1.8,40
0.4,2.2,50
0.4,2.8,60
0.4,3.2,70
0.4,3.8,80
0.6,-5.8,-60
0.6,-4.8,-50
0.6,-4,-40
0.6,-3,-30
0.6,-2,-20
0.6,-1,-10
0.6,0.4,10
0.6,0.8,20
0.6,1.4,30
0.6,1.8,40
0.6,2.2,50
0.6,2.8,60
0.6,3.2,70
0.6,3.8,80
0.8,-5.8,-60
0.8,-4.8,-50
0.8,-4,-40
0.8,-3,-30
0.8,-2,-20
0.8,-1,-10
0.8,0.4,10
0.8,0.8,20
0.8,1.4,30
0.8,1.8,40
0.8,2.2,50
0.8,2.8,60
0.8,3.2,70
0.8,3.8,80
1,-5.8,-60
1,-4.8,-50
1,-4,-40
1,-3,-30
1,-2,-20
1,-1,-10
1,0.4,10
1,0.8,20
1,1.4,30
1,1.8,40
1,2.2,50
1,2.8,60
1,3.2,70
1,3.8,80
1.2,-5.8,-60
1.2,-4.8,-50
1.2,-4,-40
1.2,-3,-30
1.2,-2,-20
1.2,-1,-10
1.2,0.4,10
1.2,0.8,20
1.2,1.4,30
1.2,1.8,40
1.2,2.2,50
1.2,2.8,60
1.2,3.2,70
1.2,3.8,80
1.4,-5.8,-60
1.4,-4.8,-50
1.4,-4,-40
1.4,-3,-30
1.4,-2,-20
1.4,-1,-10
1.4,0.4,10
1.4,0.8,20
1.4,1.4,30
1.4,1.8,40
1.4,2.2,50
1.4,2.8,60
1.4,3.2,70
1.4,3.8,80
1.6,-5.8,-60
1.6,-4.8,-50
1.6,-4,-40
1.6,-3,-30
1.6,-2,-20
1.6,-1,-10
1.6,0.4,10
1.6,0.8,20
1.6,1.4,30
1.6,1.8,40
1.6,2.2,50
1.6,2.8,60
1.6,3.2,70
1.6,3.8,80
1.8,-5.8,-60
1.8,-4.8,-50
1.8,-4,-40
1.8,-3,-30
1.8,-2,-20
1.8,-1,-10
1.8,0.4,10
1.8,0.8,20
1.8,1.4,30
1.8,1.8,40
1.8,2.2,50
1.8,2.8,60
1.8,3.2,70
1.8,3.8,80
2,-5.8,-60
2,-4.8,-50
2,-4,-40
2,-3,-30
2,-2,-20
2,-1,-10
2,0.4,10
2,0.8,20
2,1.4,30
2,1.8,40
2,2.2,50
2,2.8,60
2,3.2,70
2,3.8,80
2.2,-5.8,-60
2.2,-4.8,-50
