way_point.x,way_point.y,way_point.v,way_point.a
456953.5,4399698.215,4.722222222,0
456954,4399698.215,4.722222222,0
456954.5,4399698.215,4.722222222,0
456955,4399698.215,4.722222222,0
456955.5,4399698.215,4.722222222,0
456956,4399698.215,4.722222222,0
456956.5,4399698.215,4.722222222,0
456957,4399698.215,4.722222222,0
456957.5,4399698.215,4.722222222,0
456958,4399698.215,4.722222222,0
456958.5,4399698.215,4.722222222,0
456959,4399698.215,4.722222222,0
456959.5,4399698.215,4.722222222,0
456960,4399698.215,4.722222222,0
456960.5,4399698.215,4.722222222,0
456961,4399698.215,4.722222222,0
456961.5,4399698.215,4.722222222,0
456962,4399698.215,4.722222222,0
456962.5,4399698.215,4.722222222,0
456963,4399698.215,4.722222222,0
456963.5,4399698.215,4.722222222,0
456964,4399698.215,4.722222222,0
456964.5,4399698.215,4.722222222,0
456965,4399698.215,4.722222222,0
456965.5,4399698.215,4.722222222,0
456966,4399698.215,4.722222222,0
456966.5,4399698.215,4.722222222,0
456967,4399698.215,4.722222222,0
456967.5,4399698.215,4.722222222,0
456968,4399698.215,4.722222222,0
456968.5,4399698.215,4.722222222,0
456969,4399698.215,4.722222222,0
456969.5,4399698.215,4.722222222,0
456970,4399698.215,4.722222222,0
456970.5,4399698.215,4.722222222,0
456971,4399698.215,4.722222222,0
456971.5,4399698.215,4.722222222,0
456972,4399698.215,4.722222222,0
456972.5,4399698.215,4.722222222,0
456973,4399698.215,4.722222222,0
456973.5,4399698.215,4.722222222,0
456974,4399698.215,4.722222222,0
456974.5,4399698.215,4.722222222,0
456975,4399698.215,4.722222222,0
456975.5,4399698.215,4.722222222,0
456976,4399698.215,4.722222222,0
456976.5,4399698.215,4.722222222,0
456977,4399698.215,4.722222222,0
456977.5,4399698.215,4.722222222,0
456978,4399698.215,4.722222222,0
456978.5,4399698.215,4.722222222,0
456979,4399698.215,4.722222222,0
456979.5,4399698.215,4.722222222,0
456980,4399698.215,4.722222222,0
456980.5,4399698.215,4.722222222,-0.037724444
456981,4399698.215,4.722222222,-0.127480234
456981.5,4399698.215,4.722222222,-0.217744524
456982,4399698.215,4.722222222,-0.308331328
456982.5,4399698.215,4.722222222,-0.399380808
456983,4399698.215,4.722222222,-0.491040294
456983.5,4399698.215,4.722222222,-0.583466912
456984,4399698.215,4.722222222,-0.676830665
456984.5,4399698.215,4.722222222,-0.771318179
456985,4399698.215,4.722222222,-0.86713734
456985.5,4399698.215,4.722222222,-0.964523213
456986,4399698.215,4.722222222,-1.063745748
456986.5,4399698.215,4.722222222,-1.151128931
456987,4399698.215,4.722222222,-1.088107829
456987.5,4399698.215,4.722222222,-0.981803418
456988,4399698.215,4.722222222,-0.873064068
456988.5,4399698.215,4.722222222,-0.762013405
456989,4399698.215,4.722222222,-0.64882076
456989.5,4399698.215,4.722222222,-0.533703686
456990,4399698.215,4.722222222,-0.416928248
456990.5,4399698.215,4.722222222,-0.298806512
456991,4399698.215,4.722222222,-0.179690913
456991.5,4399698.215,4.722222222,-0.0599655
456992,4399698.215,4.722222222,0
456992.5,4399698.215,4.722222222,0
456993,4399698.215,4.727823329,0
456993.5,4399698.215,4.744573781,0
456994,4399698.215,4.77231714,0
456994.5,4399698.215,4.810799675,0
456995,4399698.215,4.859680203,0
456995.5,4399698.215,4.918542646,0
456996,4399698.215,4.98691031,0
456996.5,4399698.215,5.064260867,0
456997,4399698.215,5.149893937,0
456997.5,4399698.215,5.23200362,0
456998,4399698.215,5.303841197,0
456998.5,4399698.215,5.365940064,0
456999,4399698.215,5.418735881,0
456999.5,4399698.215,5.46258162,0
457000,4399698.215,5.497758875,0
457000.5,4399698.215,5.524486316,0
457001,4399698.215,5.54292592,0
457001.5,4399698.215,5.553187391,0
457002,4399698.215,5.555555556,0
457002.5,4399698.215,5.555555556,0
457003,4399698.215,5.555555556,0
457003.5,4399698.215,5.555555556,0
457004,4399698.215,5.555555556,0
457004.5,4399698.215,5.555555556,0
457005,4399698.215,5.555555556,0
457005.5,4399698.215,5.555555556,0
457006,4399698.215,5.555555556,0
457006.5,4399698.215,5.555555556,0
457007,4399698.215,5.555555556,0
457007.5,4399698.215,5.555555556,0
457008,4399698.215,5.555555556,0
457008.5,4399698.215,5.555555556,0
457009,4399698.215,5.555555556,0
457009.5,4399698.215,5.555555556,0
457010,4399698.215,5.555555556,0
457010.5,4399698.215,5.555555556,0
457011,4399698.215,5.555555556,0
457011.5,4399698.215,5.555555556,0
457012,4399698.215,5.555555556,0
457012.5,4399698.215,5.555555556,0
457013,4399698.215,5.555555556,0
457013.5,4399698.215,5.555555556,0
457014,4399698.215,5.555555556,0
457014.5,4399698.215,5.555555556,0
457015,4399698.215,5.555555556,0
457015.5,4399698.215,5.555555556,0
457016,4399698.215,5.555555556,0
457016.5,4399698.215,5.555555556,0
457017,4399698.215,5.555555556,0
457017.5,4399698.215,5.555555556,0
457018,4399698.215,5.555555556,0
457018.5,4399698.215,5.555555556,0
457019,4399698.215,5.555555556,0
457019.5,4399698.215,5.555555556,0
457020,4399698.215,5.555555556,0
457020.5,4399698.215,5.555555556,0
457021,4399698.215,5.555555556,0
457021.5,4399698.215,5.555555556,0
457022,4399698.215,5.555555556,0
457022.5,4399698.215,5.555555556,0
457023,4399698.215,5.555555556,0
457023.5,4399698.215,5.555555556,0.0599655
457024,4399698.215,5.555555556,0.179690913
457024.5,4399698.215,5.555555556,0.298806512
457025,4399698.215,5.555555556,0.416928248
457025.5,4399698.215,5.555555556,0.533703686
457026,4399698.215,5.555555556,0.64882076
457026.5,4399698.215,5.555555556,0.762013405
457027,4399698.215,5.555555556,0.873064068
457027.5,4399698.215,5.555555556,0.981803418
457028,4399698.215,5.555555556,1.088107829
457028.5,4399698.215,5.555555556,1.151128931
457029,4399698.215,5.555555556,1.063745748
457029.5,4399698.215,5.555555556,0.964523213
457030,4399698.215,5.555555556,0.86713734
457030.5,4399698.215,5.555555556,0.771318179
457031,4399698.215,5.555555556,0.676830665
457031.5,4399698.215,5.555555556,0.583466912
457032,4399698.215,5.555555556,0.491040294
457032.5,4399698.215,5.555555556,0.399380808
457033,4399698.215,5.555555556,0.308331328
457033.5,4399698.215,5.555555556,0.217744524
457034,4399698.215,5.555555556,0.127480234
457034.5,4399698.215,5.555555556,0.037724444
457035,4399698.215,5.555555556,0
457035.5,4399698.215,5.555555556,0
457036,4399698.215,5.555555556,0
457036.5,4399698.215,5.555555556,0
457037,4399698.215,5.555555556,0
457037.5,4399698.215,5.555555556,0
457038,4399698.215,5.555555556,0
457038.5,4399698.215,5.555555556,0
457039,4399698.215,5.555555556,0
457039.5,4399698.215,5.555555556,0
457040,4399698.215,5.555555556,0
457040.5,4399698.215,5.555555556,0
457041,4399698.215,5.555555556,0
457041.5,4399698.215,5.555555556,0
457042,4399698.215,5.555555556,0
457042.5,4399698.215,5.555555556,0
457043,4399698.215,5.555555556,0
457043.5,4399698.215,5.555555556,0
457044,4399698.215,5.555555556,0
457044.5,4399698.215,5.555555556,0
457045,4399698.215,5.555555556,0
457045.5,4399698.215,5.555555556,0
457046,4399698.215,5.555555556,0
457046.5,4399698.215,5.555555556,0
457047,4399698.215,5.555555556,0
457047.5,4399698.215,5.555555556,0
457048,4399698.215,5.555555556,0
457048.5,4399698.215,5.555555556,0
457049,4399698.215,5.555555556,0
457049.5,4399698.215,5.555555556,0
457050,4399698.215,5.555555556,0
457050.5,4399698.215,5.555555556,0
457051,4399698.215,5.555555556,0
457051.5,4399698.215,5.555555556,0
457052,4399698.215,5.555555556,0
457052.5,4399698.215,5.555555556,0
457053,4399698.215,5.555555556,0
457053.5,4399698.215,5.555555556,0
457054,4399698.215,5.555555556,0
457054.5,4399698.215,5.555555556,0
457055,4399698.215,5.555555556,0
457055.5,4399698.215,5.555555556,0
457056,4399698.215,5.555555556,0
457056.5,4399698.215,5.555555556,0
457057,4399698.215,5.555555556,0
457057.5,4399698.215,5.555555556,0
457058,4399698.215,5.555555556,0
457058.5,4399698.215,5.555555556,0
457059,4399698.215,5.555555556,0
457059.5,4399698.215,5.555555556,0
457060,4399698.215,5.555555556,0
457060.5,4399698.215,5.555555556,0
457061,4399698.215,5.555555556,0
457061.5,4399698.215,5.555555556,0
457062,4399698.215,5.555555556,0
457062.5,4399698.215,5.555555556,0
457063,4399698.215,5.555555556,0
457063.5,4399698.215,5.555555556,0
457064,4399698.215,5.555555556,0
457064.5,4399698.215,5.555555556,0
457065,4399698.215,5.555555556,0
457065.5,4399698.215,5.555555556,0
457066,4399698.215,5.555555556,0
457066.5,4399698.215,5.555555556,0
457067,4399698.215,5.555555556,0
457067.5,4399698.215,5.555555556,0
457068,4399698.215,5.555555556,0
457068.5,4399698.215,5.555555556,0
457069,4399698.215,5.555555556,0
457069.5,4399698.215,5.555555556,0
457070,4399698.215,5.555555556,0
457070.5,4399698.215,5.555555556,0
457071,4399698.215,5.555555556,0
457071.5,4399698.215,5.555555556,0
457072,4399698.215,5.555555556,0
457072.5,4399698.215,5.555555556,0
457073,4399698.215,5.555555556,0
457073.5,4399698.215,5.555555556,0
457074,4399698.215,5.555555556,0
457074.5,4399698.215,5.555555556,0
457075,4399698.215,5.555555556,0
457075.5,4399698.215,5.555555556,0
457076,4399698.215,5.555555556,0
457076.5,4399698.215,5.555555556,0
457077,4399698.215,5.555555556,0
457077.5,4399698.215,5.555555556,0
457078,4399698.215,5.555555556,0
457078.5,4399698.215,5.555555556,0
457079,4399698.215,5.555555556,0
457079.5,4399698.215,5.555555556,0
457080,4399698.215,5.555555556,0
457080.5,4399698.215,5.555555556,0
457081,4399698.215,5.555555556,0
457081.5,4399698.215,5.555555556,0
457082,4399698.215,5.555555556,0
457082.5,4399698.215,5.555555556,0
457083,4399698.215,5.555555556,0
457083.5,4399698.215,5.555555556,0
457084,4399698.215,5.555555556,0
457084.5,4399698.215,5.555555556,0
457085,4399698.215,5.555555556,0
457085.5,4399698.215,5.555555556,0
457086,4399698.215,5.555555556,0
457086.5,4399698.215,5.555555556,0
457087,4399698.215,5.555555556,0
457087.5,4399698.215,5.555555556,0
457088,4399698.215,5.555555556,0
457088.5,4399698.215,5.555555556,0
457089,4399698.215,5.555555556,0
457089.5,4399698.215,5.555555556,0
457090,4399698.215,5.555555556,0
457090.5,4399698.215,5.555555556,0
457091,4399698.215,5.555555556,0
457091.5,4399698.215,5.555555556,0
457092,4399698.215,5.555555556,0
457092.5,4399698.215,5.555555556,0
457093,4399698.215,5.555555556,0
457093.5,4399698.215,5.555555556,0
457094,4399698.215,5.555555556,0
457094.5,4399698.215,5.555555556,0
457095,4399698.215,5.555555556,0
457095.5,4399698.215,5.555555556,0
457096,4399698.215,5.555555556,0
457096.5,4399698.215,5.555555556,0
457097,4399698.215,5.555555556,0
457097.5,4399698.215,5.555555556,0
457098,4399698.215,5.555555556,-0.037724444
457098.5,4399698.215,5.552159722,-0.127480234
457099,4399698.215,5.540668994,-0.217744524
457099.5,4399698.215,5.520986794,-0.308331328
457100,4399698.215,5.49299575,-0.399380808
457100.5,4399698.215,5.456525651,-0.491040294
457101,4399698.215,5.41134878,-0.583466912
457101.5,4399698.215,5.357173373,-0.676830665
457102,4399698.215,5.293634783,-0.771318179
457102.5,4399698.215,5.22028367,-0.86713734
457103,4399698.215,5.136570285,-0.964523213
457103.5,4399698.215,5.041823425,-1.063745748
457104,4399698.215,4.935221994,-1.151128931
457104.5,4399698.215,4.817194868,-1.088107829
457105,4399698.215,4.702876594,-0.981803418
457105.5,4399698.215,4.597286296,-0.873064068
457106,4399698.215,4.501309133,-0.762013405
457106.5,4399698.215,4.415834153,-0.64882076
457107,4399698.215,4.341728847,-0.533703686
457107.5,4399698.215,4.2798092,-0.416928248
457108,4399698.215,4.230806746,-0.298806512
457108.5,4399698.215,4.195335016,-0.179690913
457109,4399698.215,4.173858389,-0.0599655
457109.5,4399698.215,4.166666667,0
457110,4399698.215,4.166666667,0.0599655
457110.5,4399698.215,4.173858389,0.179690913
457111,4399698.215,4.195335016,0.298806512
457111.5,4399698.215,4.230806746,0.416928248
457112,4399698.215,4.2798092,0.533703686
457112.5,4399698.215,4.341728847,0.64882076
457113,4399698.215,4.415834153,0.762013405
457113.5,4399698.215,4.501309133,0.873064068
457114,4399698.215,4.597286296,0.981803418
457114.5,4399698.215,4.702876594,1.088107829
457115,4399698.215,4.817194868,1.191895288
457115.5,4399698.215,4.939380092,1.293120372
457116,4399698.215,5.068610379,1.391768833
457116.5,4399698.215,5.204113189,1.487852214
457117,4399698.215,5.345171429,1.581402791
457117.5,4399698.215,5.491126261,1.672469011
457118,4399698.215,5.641377379,1.761111518
457118.5,4399698.215,5.795381482,1.84739977
457119,4399698.215,5.952649515,1.85233854
457119.5,4399698.215,6.106242654,1.770461275
457120,4399698.215,6.249520321,1.690421796
457120.5,4399698.215,6.383320948,1.612063998
457121,4399698.215,6.508358084,1.535214813
457121.5,4399698.215,6.625241644,1.459724053
457122,4399698.215,6.734496929,1.385460181
457122.5,4399698.215,6.836579313,1.312307025
457123,4399698.215,6.931885742,1.240161186
457123.5,4399698.215,7.020763851,1.168929964
457124,4399698.215,7.103519261,1.098529686
457124.5,4399698.215,7.180421489,1.028884342
457125,4399698.215,7.251708769,0.959924455
457125.5,4399698.215,7.317592008,0.891586143
457126,4399698.215,7.378258069,0.823810334
457126.5,4399698.215,7.433872491,0.756542094
457127,4399698.215,7.484581775,0.689730061
457127.5,4399698.215,7.530515284,0.623325949
457128,4399698.215,7.571786859,0.557284122
457128.5,4399698.215,7.60849616,0.49156122
457129,4399698.215,7.640729804,0.426115825
457129.5,4399698.215,7.668562314,0.360908164
457130,4399698.215,7.692056912,0.295899842
457130.5,4399698.215,7.711266166,0.231053594
457131,4399698.215,7.726232524,0.166333063
457131.5,4399698.215,7.736988728,0.101702581
457132,4399698.215,7.743558135,0.037126975
457132.5,4399698.215,7.745954938,0.000182093
457133,4399698.215,7.745966692,0
457133.5,4399698.215,7.745966692,0
457134,4399698.215,7.745966692,0
457134.5,4399698.215,7.745966692,0
457135,4399698.215,7.745966692,0
457135.5,4399698.215,7.745966692,0
457136,4399698.215,7.745966692,0
457136.5,4399698.215,7.745966692,0
457137,4399698.215,7.745966692,0
457137.5,4399698.215,7.745966692,0
457138,4399698.215,7.745966692,0
457138.5,4399698.215,7.745966692,0
457139,4399698.215,7.745966692,0
457139.5,4399698.215,7.745966692,0
457140,4399698.215,7.745966692,0
457140.5,4399698.215,7.745966692,0
457141,4399698.215,7.745966692,0
457141.5,4399698.215,7.745966692,0
457142,4399698.215,7.745966692,0
457142.5,4399698.215,7.745966692,0
457143,4399698.215,7.745966692,0
457143.5,4399698.215,7.745966692,0
457144,4399698.215,7.745966692,0
457144.5,4399698.215,7.745966692,0
457145,4399698.215,7.745966692,0
457145.5,4399698.215,7.745966692,0
457146,4399698.215,7.745966692,0
457146.5,4399698.215,7.745966692,0
457147,4399698.215,7.745966692,0
457147.5,4399698.215,7.745966692,0
457148,4399698.215,7.745966692,0
457148.5,4399698.215,7.745966692,0
457149,4399698.215,7.745966692,0
457149.5,4399698.215,7.745966692,0
457150,4399698.215,7.745966692,0
457150.5,4399698.215,7.745966692,0
457151,4399698.215,7.745966692,0
457151.5,4399698.215,7.745966692,0
457152,4399698.215,7.745966692,0
457152.5,4399698.215,7.745966692,0
457153,4399698.215,7.745966692,0
457153.5,4399698.215,7.745966692,0
457154,4399698.215,7.745966692,0
457154.5,4399698.215,7.745966692,0
457155,4399698.215,7.745966692,0
457155.5,4399698.215,7.745966692,0
457156,4399698.215,7.745966692,0
457156.5,4399698.215,7.745966692,0
457157,4399698.215,7.745966692,0
457157.5,4399698.215,7.745966692,0
457158,4399698.215,7.745966692,0
457158.5,4399698.215,7.745966692,0
457159,4399698.215,7.745966692,0
457159.5,4399698.215,7.745966692,0
457160,4399698.215,7.745966692,0
457160.5,4399698.215,7.745966692,0
457161,4399698.215,7.745966692,0
457161.5,4399698.215,7.745966692,0
457162,4399698.215,7.745966692,0
457162.5,4399698.215,7.745966692,0.032271968
457163,4399698.215,7.748049652,0.096798568
457163.5,4399698.215,7.754294056,0.161273246
457164,4399698.215,7.76468652,0.225661699
457164.5,4399698.215,7.779204874,0.289930079
457165,4399698.215,7.79781837,0.354045169
457165.5,4399698.215,7.820487964,0.417974548
457166,4399698.215,7.847166664,0.481686745
457166.5,4399698.215,7.87779995,0.545151377
457167,4399698.215,7.912326239,0.608339274
457167.5,4399698.215,7.950677404,0.671222589
457168,4399698.215,7.992779328,0.733774893
457168.5,4399698.215,8.038552479,0.795971247
457169,4399698.215,8.087912515,0.857788263
457169.5,4399698.215,8.140770882,0.919204145
457170,4399698.215,8.19703543,0.980198716
457170.491,4399698.214,8.256611002,1.04075343
457170.982,4399698.21,8.319400024,1.100851367
457171.473,4399698.204,8.385303065,1.160477218
457171.964,4399698.195,8.454219373,1.219617255
457172.455,4399698.184,8.526047384,1.278259298
457172.946,4399698.171,8.600685188,1.336392663
457173.437,4399698.155,8.678030972,1.394008114
457173.928,4399698.136,8.757983415,1.451097795
457174.418,4399698.116,8.840442051,1.507655175
457174.909,4399698.092,8.925307594,1.563674972
457175.399,4399698.066,9.012482221,1.619153088
457175.889,4399698.038,9.101869823,1.674086533
457176.379,4399698.008,9.193376223,1.728473354
